activity_id,destination,activity_name,category,price,duration,rating
AC0099,Madrid,Historic landmark entry in Madrid,sightseeing,18.83,2 hours,4.8
AC0100,Madrid,Street food tasting tour in Madrid,food,24.98,3 hours,4.2
AC0101,Madrid,Local market and craft workshop in Madrid,culture,35.38,3 hours,4.5
AC0102,Madrid,Guided city walking tour in Madrid,sightseeing,32.35,3 hours,4.4
AC0103,Madrid,Day trip to nearby town in Madrid,adventure,119.83,8 hours,4.2
AC0104,Madrid,Museum and gallery pass in Madrid,culture,30.26,4 hours,4.2
AC0105,Singapore,Cooking class with local chef in Singapore,food,79.4,4 hours,4.0
AC0106,Singapore,Traditional cultural performance in Singapore,culture,94.41,2 hours,4.8
AC0107,Singapore,Guided city walking tour in Singapore,sightseeing,23.03,3 hours,4.6
AC0108,Singapore,Sunset viewpoint experience in Singapore,leisure,45.13,2 hours,4.6
AC0109,Singapore,Day trip to nearby town in Singapore,adventure,78.58,8 hours,4.0
AC0110,Singapore,River or harbour cruise in Singapore,leisure,93.43,2 hours,4.5
AC0111,Singapore,Local market and craft workshop in Singapore,culture,25.78,3 hours,4.2
AC0112,Singapore,Street food tasting tour in Singapore,food,98.93,3 hours,4.4
AC0113,Bangkok,Cooking class with local chef in Bangkok,food,70.75,4 hours,4.3
AC0114,Bangkok,Temple and shrine circuit in Bangkok,culture,10.43,4 hours,3.9
AC0115,Bangkok,Historic landmark entry in Bangkok,sightseeing,20.98,2 hours,3.9
AC0116,Bangkok,Traditional cultural performance in Bangkok,culture,33.48,2 hours,4.4
AC0117,Bangkok,Street food tasting tour in Bangkok,food,20.38,3 hours,4.7
AC0118,Bangkok,Day trip to nearby town in Bangkok,adventure,83.68,8 hours,4.7
AC0119,Bangkok,Guided city walking tour in Bangkok,sightseeing,17.91,3 hours,4.9
AC0120,Bangkok,Museum and gallery pass in Bangkok,culture,13.88,4 hours,4.8
AC0121,Phuket,Street food tasting tour in Phuket,food,39.85,3 hours,4.9
AC0122,Phuket,Temple and shrine circuit in Phuket,culture,15.34,4 hours,4.1
AC0123,Phuket,Guided city walking tour in Phuket,sightseeing,18.37,3 hours,4.8
AC0124,Phuket,Historic landmark entry in Phuket,sightseeing,17.19,2 hours,4.6
AC0125,Phuket,Museum and gallery pass in Phuket,culture,21.93,4 hours,4.1
AC0126,Phuket,Day trip to nearby town in Phuket,adventure,57.52,8 hours,4.0
AC0127,Phuket,Sunset viewpoint experience in Phuket,leisure,25.34,2 hours,4.0
AC0128,Phuket,Cycling tour of the old town in Phuket,adventure,34.3,3 hours,4.7
AC0129,Sydney,Cooking class with local chef in Sydney,food,99.25,4 hours,4.1
AC0130,Sydney,Traditional cultural performance in Sydney,culture,78.0,2 hours,4.3
AC0131,Sydney,Historic landmark entry in Sydney,sightseeing,22.05,2 hours,4.7
AC0132,Sydney,Day trip to nearby town in Sydney,adventure,153.99,8 hours,4.2
AC0133,Sydney,Guided city walking tour in Sydney,sightseeing,37.66,3 hours,4.3
AC0134,Sydney,Museum and gallery pass in Sydney,culture,13.86,4 hours,4.2
AC0135,Sydney,Local market and craft workshop in Sydney,culture,55.42,3 hours,4.2
AC0136,Sydney,Street food tasting tour in Sydney,food,37.1,3 hours,4.1
AC0137,Melbourne,Street food tasting tour in Melbourne,food,75.18,3 hours,4.2
AC0138,Melbourne,Museum and gallery pass in Melbourne,culture,37.04,4 hours,4.1
AC0139,Melbourne,Historic landmark entry in Melbourne,sightseeing,39.73,2 hours,4.8
AC0140,Melbourne,Guided city walking tour in Melbourne,sightseeing,45.58,3 hours,4.1
AC0141,Melbourne,River or harbour cruise in Melbourne,leisure,39.58,2 hours,4.9
AC0142,Melbourne,Day trip to nearby town in Melbourne,adventure,133.48,8 hours,4.8
AC0143,Melbourne,Cooking class with local chef in Melbourne,food,56.76,4 hours,4.6
AC0144,Melbourne,Cycling tour of the old town in Melbourne,adventure,62.02,3 hours,4.8
AC0145,Dubai,Cooking class with local chef in Dubai,food,75.53,4 hours,4.9
AC0146,Dubai,Temple and shrine circuit in Dubai,culture,16.04,4 hours,4.9
AC0147,Dubai,Historic landmark entry in Dubai,sightseeing,34.89,2 hours,4.2
AC0148,Dubai,Sunset viewpoint experience in Dubai,leisure,45.11,2 hours,4.5
AC0149,Dubai,Street food tasting tour in Dubai,food,49.09,3 hours,4.2
AC0150,Dubai,Guided city walking tour in Dubai,sightseeing,17.89,3 hours,4.5
AC0151,Dubai,Traditional cultural performance in Dubai,culture,78.91,2 hours,4.4
AC0152,Dubai,Museum and gallery pass in Dubai,culture,17.31,4 hours,4.1
AC0153,Abu Dhabi,Street food tasting tour in Abu Dhabi,food,80.0,3 hours,4.1
AC0154,Abu Dhabi,Local market and craft workshop in Abu Dhabi,culture,28.97,3 hours,4.3
AC0155,Abu Dhabi,Guided city walking tour in Abu Dhabi,sightseeing,52.08,3 hours,4.8
AC0156,Abu Dhabi,Cycling tour of the old town in Abu Dhabi,adventure,34.07,3 hours,4.7
AC0157,Abu Dhabi,Historic landmark entry in Abu Dhabi,sightseeing,31.47,2 hours,4.9
AC0158,Abu Dhabi,Cooking class with local chef in Abu Dhabi,food,98.66,4 hours,4.2
AC0159,Abu Dhabi,River or harbour cruise in Abu Dhabi,leisure,96.2,2 hours,4.3
AC0160,Abu Dhabi,Sunset viewpoint experience in Abu Dhabi,leisure,59.19,2 hours,4.1
AC0161,Delhi,Cooking class with local chef in Delhi,food,20.14,4 hours,4.3
AC0162,Delhi,Museum and gallery pass in Delhi,culture,13.47,4 hours,5.0
AC0163,Delhi,Historic landmark entry in Delhi,sightseeing,7.38,2 hours,4.6
AC0164,Delhi,River or harbour cruise in Delhi,leisure,27.64,2 hours,4.0
AC0165,Delhi,Temple and shrine circuit in Delhi,culture,17.44,4 hours,4.3
AC0166,Delhi,Sunset viewpoint experience in Delhi,leisure,26.1,2 hours,4.9
AC0167,Delhi,Guided city walking tour in Delhi,sightseeing,24.9,3 hours,4.8
AC0168,Delhi,Local market and craft workshop in Delhi,culture,13.63,3 hours,4.8
AC0169,Jaipur,Cooking class with local chef in Jaipur,food,41.84,4 hours,4.7
AC0170,Jaipur,Museum and gallery pass in Jaipur,culture,20.62,4 hours,4.9
AC0171,Jaipur,Historic landmark entry in Jaipur,sightseeing,18.8,2 hours,4.4
AC0172,Jaipur,Sunset viewpoint experience in Jaipur,leisure,8.55,2 hours,4.5
AC0173,Jaipur,Traditional cultural performance in Jaipur,culture,17.56,2 hours,4.6
AC0174,Jaipur,River or harbour cruise in Jaipur,leisure,33.09,2 hours,4.8
AC0175,Jaipur,Temple and shrine circuit in Jaipur,culture,10.98,4 hours,4.8
AC0176,Jaipur,Local market and craft workshop in Jaipur,culture,9.3,3 hours,4.4
AC0177,Mumbai,Cooking class with local chef in Mumbai,food,49.21,4 hours,4.3
AC0178,Mumbai,Museum and gallery pass in Mumbai,culture,7.74,4 hours,4.1
AC0179,Mumbai,Historic landmark entry in Mumbai,sightseeing,14.76,2 hours,4.1
AC0180,Mumbai,Sunset viewpoint experience in Mumbai,leisure,26.05,2 hours,4.5
AC0181,Mumbai,Guided city walking tour in Mumbai,sightseeing,17.27,3 hours,4.8
AC0182,Mumbai,Street food tasting tour in Mumbai,food,27.88,3 hours,4.2
AC0183,Mumbai,River or harbour cruise in Mumbai,leisure,22.09,2 hours,4.8
AC0184,Mumbai,Local market and craft workshop in Mumbai,culture,12.93,3 hours,4.7
